oldProductId,productNo,productName,sourceCategoryName,sourceSubcategoryName,categoryId,categoryName,subcategoryId,subcategoryName,categoryConfidence,categoryReason,needsCategoryReview,activityCategoryIds,activityCategoryNames
12501,01226,原味夏威夷果,限時優惠快閃區,限時優惠快閃區,nuts,堅果/果乾,nuts-mixed,堅果,0.94,原始分類為「限時優惠快閃區 / 限時優惠快閃區」，商品名稱含堅果品項關鍵字,false,activity-flash,限時優惠快閃區
12900,01227,玫瑰鹽三珍果,限時優惠快閃區,限時優惠快閃區,nuts,堅果/果乾,nuts-mixed,堅果,0.94,原始分類為「限時優惠快閃區 / 限時優惠快閃區」，商品名稱含堅果品項關鍵字,false,activity-flash,限時優惠快閃區
11840,01228,玫瑰鹽腰果,限時優惠快閃區,限時優惠快閃區,nuts,堅果/果乾,nuts-mixed,堅果,0.94,原始分類為「限時優惠快閃區 / 限時優惠快閃區」，商品名稱含堅果品項關鍵字,false,activity-flash,限時優惠快閃區
12901,01229,原味胡桃,限時優惠快閃區,限時優惠快閃區,nuts,堅果/果乾,nuts-mixed,堅果,0.94,原始分類為「限時優惠快閃區 / 限時優惠快閃區」，商品名稱含堅果品項關鍵字,false,activity-flash,限時優惠快閃區
12898,01269,珍饌四果,限時優惠快閃區,限時優惠快閃區,nuts,堅果/果乾,nuts-mixed,堅果,0.94,原始分類為「限時優惠快閃區 / 限時優惠快閃區」，商品名稱含堅果品項關鍵字,false,activity-flash,限時優惠快閃區
12899,01270,楓糖腰果,限時優惠快閃區,限時優惠快閃區,nuts,堅果/果乾,nuts-mixed,堅果,0.94,原始分類為「限時優惠快閃區 / 限時優惠快閃區」，商品名稱含堅果品項關鍵字,false,activity-flash,限時優惠快閃區
12877,01157,果然優蜜棗乾(罐),限時優惠快閃區,限時優惠快閃區,nuts,堅果/果乾,nuts-dried-fruits,果乾,0.92,原始分類為「限時優惠快閃區 / 限時優惠快閃區」，商品名稱含果乾、栗子、紅棗或枸杞關鍵字,false,activity-flash,限時優惠快閃區
12823,23240,Coco dee Salam 椰子水(6件組),限時優惠快閃區,限時優惠快閃區,beverage,即飲/沖泡,beverage-ready,即飲,0.92,原始分類為「限時優惠快閃區 / 限時優惠快閃區」，商品名稱含即飲或箱裝飲品關鍵字,false,activity-flash,限時優惠快閃區
12808,08329,智利鮭魚輪切M(250g)(商品效期2026/10/01),限時優惠快閃區,限時優惠快閃區,frozen,冷凍食材,frozen-seafood,安心水產,0.95,原始分類為「限時優惠快閃區 / 限時優惠快閃區」，商品名稱含水產或海鮮食材關鍵字,false,activity-flash,限時優惠快閃區
12677,17048,有機枸杞原汁(10件組),限時優惠快閃區,限時優惠快閃區,elderly,銀髮專區,elderly-drinks,喝的保養,0.9,原始分類為「限時優惠快閃區 / 限時優惠快閃區」，商品名稱屬於喝的營養補給品,false,activity-flash,限時優惠快閃區
11522,26354,淨．益生菌,限時優惠快閃區,限時優惠快閃區,supplements,保健食品,,,0.88,原始分類為「限時優惠快閃區 / 限時優惠快閃區」，商品名稱含保健食品或營養補給關鍵字,false,activity-flash,限時優惠快閃區
11892,22097,葵花籽油,限時優惠快閃區,限時優惠快閃區,pantry,廚房料理品,pantry-oil,油品,0.92,原始分類為「限時優惠快閃區 / 限時優惠快閃區」，商品名稱含油品關鍵字,false,activity-flash,限時優惠快閃區
12783,17007,豬肉鬆,限時優惠快閃區,限時優惠快閃區,snacks,樂活零嘴,,,0.82,原始分類為「限時優惠快閃區 / 限時優惠快閃區」，商品名稱屬於零嘴、餅乾或點心,false,activity-flash,限時優惠快閃區
12826,01175,藍莓乾(2件組),限時優惠快閃區,限時優惠快閃區,nuts,堅果/果乾,nuts-dried-fruits,果乾,0.92,原始分類為「限時優惠快閃區 / 限時優惠快閃區」，商品名稱含果乾、栗子、紅棗或枸杞關鍵字,false,activity-flash,限時優惠快閃區
12655,01176,葡萄乾(袋)(2件組),限時優惠快閃區,限時優惠快閃區,nuts,堅果/果乾,nuts-dried-fruits,果乾,0.92,原始分類為「限時優惠快閃區 / 限時優惠快閃區」，商品名稱含果乾、栗子、紅棗或枸杞關鍵字,false,activity-flash,限時優惠快閃區
12855,01254,加州葡萄乾220公克(2件組),限時優惠快閃區,限時優惠快閃區,nuts,堅果/果乾,nuts-dried-fruits,果乾,0.92,原始分類為「限時優惠快閃區 / 限時優惠快閃區」，商品名稱含果乾、栗子、紅棗或枸杞關鍵字,false,activity-flash,限時優惠快閃區
12853,01180,蔓越莓乾(袋)(2件組),限時優惠快閃區,限時優惠快閃區,nuts,堅果/果乾,nuts-dried-fruits,果乾,0.92,原始分類為「限時優惠快閃區 / 限時優惠快閃區」，商品名稱含果乾、栗子、紅棗或枸杞關鍵字,false,activity-flash,限時優惠快閃區
12854,01182,整顆蔓越莓乾(袋)(2件組),限時優惠快閃區,限時優惠快閃區,nuts,堅果/果乾,nuts-dried-fruits,果乾,0.92,原始分類為「限時優惠快閃區 / 限時優惠快閃區」，商品名稱含果乾、栗子、紅棗或枸杞關鍵字,false,activity-flash,限時優惠快閃區
12529,01178,蜜棗乾(袋)(2件組),限時優惠快閃區,限時優惠快閃區,nuts,堅果/果乾,nuts-dried-fruits,果乾,0.92,原始分類為「限時優惠快閃區 / 限時優惠快閃區」，商品名稱含果乾、栗子、紅棗或枸杞關鍵字,false,activity-flash,限時優惠快閃區
12620,55143,鮮奶小饅頭,限時優惠快閃區,限時優惠快閃區,snacks,樂活零嘴,,,0.82,原始分類為「限時優惠快閃區 / 限時優惠快閃區」，商品名稱屬於零嘴、餅乾或點心,false,activity-flash,限時優惠快閃區
12502,18052,甘栗(70G)(10件組),限時優惠快閃區,限時優惠快閃區,nuts,堅果/果乾,nuts-dried-fruits,果乾,0.92,原始分類為「限時優惠快閃區 / 限時優惠快閃區」，商品名稱含果乾、栗子、紅棗或枸杞關鍵字,false,activity-flash,限時優惠快閃區
12506,17002,有機枸杞(3件組)(超取免運),限時優惠快閃區,限時優惠快閃區,nuts,堅果/果乾,nuts-dried-fruits,果乾,0.92,原始分類為「限時優惠快閃區 / 限時優惠快閃區」，商品名稱含果乾、栗子、紅棗或枸杞關鍵字,false,activity-flash,限時優惠快閃區
12472,17020,有機大紅棗(3件組)(超取免運),限時優惠快閃區,限時優惠快閃區,nuts,堅果/果乾,nuts-dried-fruits,果乾,0.92,原始分類為「限時優惠快閃區 / 限時優惠快閃區」，商品名稱含果乾、栗子、紅棗或枸杞關鍵字,false,activity-flash,限時優惠快閃區
12672,1700212,有機枸杞(2件)+有機大紅棗(2件),限時優惠快閃區,限時優惠快閃區,nuts,堅果/果乾,nuts-dried-fruits,果乾,0.92,原始分類為「限時優惠快閃區 / 限時優惠快閃區」，商品名稱含果乾、栗子、紅棗或枸杞關鍵字,false,activity-flash,限時優惠快閃區
12806,08298,蔥油土雞腿(3件組),限時優惠快閃區,限時優惠快閃區,frozen,冷凍食材,frozen-ready,即食調理,0.9,原始分類為「限時優惠快閃區 / 限時優惠快閃區」，商品名稱或配送資訊顯示為冷凍食材/調理品,false,activity-flash,限時優惠快閃區
12805,08004,豬梅花火鍋肉片(6件組),限時優惠快閃區,限時優惠快閃區,frozen,冷凍食材,frozen-ready,即食調理,0.9,原始分類為「限時優惠快閃區 / 限時優惠快閃區」，商品名稱或配送資訊顯示為冷凍食材/調理品,false,activity-flash,限時優惠快閃區
12804,08334,藻晨雞(雞腿切塊)(6件組),限時優惠快閃區,限時優惠快閃區,frozen,冷凍食材,frozen-ready,即食調理,0.9,原始分類為「限時優惠快閃區 / 限時優惠快閃區」，商品名稱或配送資訊顯示為冷凍食材/調理品,false,activity-flash,限時優惠快閃區
12803,08335,藻晨雞(去骨雞腿)(6件組),限時優惠快閃區,限時優惠快閃區,frozen,冷凍食材,frozen-ready,即食調理,0.9,原始分類為「限時優惠快閃區 / 限時優惠快閃區」，商品名稱或配送資訊顯示為冷凍食材/調理品,false,activity-flash,限時優惠快閃區
12802,08080,金目鱸魚片(6件組),限時優惠快閃區,限時優惠快閃區,frozen,冷凍食材,frozen-seafood,安心水產,0.95,原始分類為「限時優惠快閃區 / 限時優惠快閃區」，商品名稱含水產或海鮮食材關鍵字,false,activity-flash,限時優惠快閃區
12801,08331,鹽漬鯖魚片(6件組),限時優惠快閃區,限時優惠快閃區,frozen,冷凍食材,frozen-seafood,安心水產,0.95,原始分類為「限時優惠快閃區 / 限時優惠快閃區」，商品名稱含水產或海鮮食材關鍵字,false,activity-flash,限時優惠快閃區
12800,08318,大比目魚(扁鱈)中段(6件組),限時優惠快閃區,限時優惠快閃區,frozen,冷凍食材,frozen-seafood,安心水產,0.95,原始分類為「限時優惠快閃區 / 限時優惠快閃區」，商品名稱含水產或海鮮食材關鍵字,false,activity-flash,限時優惠快閃區
12799,08188,台灣鯛魚片(S)(6件組),限時優惠快閃區,限時優惠快閃區,frozen,冷凍食材,frozen-seafood,安心水產,0.95,原始分類為「限時優惠快閃區 / 限時優惠快閃區」，商品名稱含水產或海鮮食材關鍵字,false,activity-flash,限時優惠快閃區
12081,22094,冷壓初榨橄欖油,地中海飲食推薦,地中海飲食推薦,pantry,廚房料理品,pantry-oil,油品,0.92,原始分類為「地中海飲食推薦 / 地中海飲食推薦」，商品名稱含油品關鍵字,false,activity-mediterranean,地中海飲食推薦
12082,01151,果然優綜合堅果,地中海飲食推薦,地中海飲食推薦,nuts,堅果/果乾,nuts-mixed,堅果,0.94,原始分類為「地中海飲食推薦 / 地中海飲食推薦」，商品名稱含堅果品項關鍵字,false,activity-mediterranean,地中海飲食推薦
12083,02058,有機糙米,地中海飲食推薦,地中海飲食推薦,grains,主食雜糧,grains-rice,米,0.9,原始分類為「地中海飲食推薦 / 地中海飲食推薦」，商品名稱含米類關鍵字,false,activity-mediterranean,地中海飲食推薦
12084,02152,有機大燕麥片(400g),地中海飲食推薦,地中海飲食推薦,grains,主食雜糧,grains-cereal,雜糧,0.88,原始分類為「地中海飲食推薦 / 地中海飲食推薦」，商品名稱含燕麥或雜糧關鍵字,false,activity-mediterranean,地中海飲食推薦
12085,02138,有機三色藜麥(300G),地中海飲食推薦,地中海飲食推薦,grains,主食雜糧,grains-cereal,雜糧,0.88,原始分類為「地中海飲食推薦 / 地中海飲食推薦」，商品名稱含燕麥或雜糧關鍵字,false,activity-mediterranean,地中海飲食推薦
12086,04060,有機綠豆(380G),地中海飲食推薦,地中海飲食推薦,grains,主食雜糧,grains-beans,豆類,0.9,原始分類為「地中海飲食推薦 / 地中海飲食推薦」，商品名稱含豆類關鍵字,false,activity-mediterranean,地中海飲食推薦
12087,08339,智利鮭魚輪切(L)(300g),地中海飲食推薦,地中海飲食推薦,frozen,冷凍食材,frozen-seafood,安心水產,0.95,原始分類為「地中海飲食推薦 / 地中海飲食推薦」，商品名稱含水產或海鮮食材關鍵字,false,activity-mediterranean,地中海飲食推薦
12093,08331,鹽漬鯖魚片,地中海飲食推薦,地中海飲食推薦,frozen,冷凍食材,frozen-seafood,安心水產,0.95,原始分類為「地中海飲食推薦 / 地中海飲食推薦」，商品名稱含水產或海鮮食材關鍵字,false,activity-mediterranean,地中海飲食推薦
11287,08079,白蝦(台灣養殖),地中海飲食推薦,地中海飲食推薦,frozen,冷凍食材,frozen-seafood,安心水產,0.95,原始分類為「地中海飲食推薦 / 地中海飲食推薦」，商品名稱含水產或海鮮食材關鍵字,false,activity-mediterranean,地中海飲食推薦
12088,08336,藻晨雞(雞胸),地中海飲食推薦,地中海飲食推薦,frozen,冷凍食材,frozen-ready,即食調理,0.9,原始分類為「地中海飲食推薦 / 地中海飲食推薦」，商品名稱或配送資訊顯示為冷凍食材/調理品,false,activity-mediterranean,地中海飲食推薦
12089,08295,瓜瓜園 冰烤蕃薯,地中海飲食推薦,地中海飲食推薦,frozen,冷凍食材,frozen-vegetarian,蔬食,0.82,原始分類為「地中海飲食推薦 / 地中海飲食推薦」，商品名稱或配送資訊顯示為冷凍蔬果/蔬食,false,activity-mediterranean,地中海飲食推薦
